Validation mean,Validation deviation,Training mean,Training deviation,C,epsilon,gamma,degree,kernel,coef,time,Validation foldN _0,Validation foldN _1,Validation foldN _2,Validation foldN _3,Validation foldN _4,Training foldN _0,Training foldN _1,Training foldN _2,Training foldN _3,Training foldN _4
Validation mean,Validation deviation,Training mean,Training deviation,C,epsilon,gamma,degree,kernel,coef,time
12.8,2.6381811916545836,0.0,0.0,1,0.001,10,0,rbf,0,0.008056879043579102,9,14,12,17,12,0,0,0,0,0
12.8,2.6381811916545836,0.0,0.0,1,0.001,100,0,rbf,0,0.008606910705566406,9,14,12,17,12,0,0,0,0,0
12.8,2.6381811916545836,0.0,0.0,1,0.001,1000,0,rbf,0,0.006865262985229492,9,14,12,17,12,0,0,0,0,0
12.8,2.6381811916545836,0.0,0.0,1,0.001,10000,0,rbf,0,0.007082700729370117,9,14,12,17,12,0,0,0,0,0
12.8,2.6381811916545836,0.0,0.0,1,0.001,100000,0,rbf,0,0.007660388946533203,9,14,12,17,12,0,0,0,0,0
12.8,2.6381811916545836,51.2,2.638181191654584,10,0.001,0.0001,0,rbf,0,0.00550079345703125,9,14,12,17,12,55,50,52,47,52
12.8,2.6381811916545836,51.2,2.638181191654584,10,0.001,0.001,0,rbf,0,0.00713801383972168,9,14,12,17,12,55,50,52,47,52
12.8,2.6381811916545836,51.2,2.638181191654584,10,0.001,0.01,0,rbf,0,0.006866931915283203,9,14,12,17,12,55,50,52,47,52
12.8,2.6381811916545836,0.0,0.0,10,0.001,10,0,rbf,0,0.008769750595092773,9,14,12,17,12,0,0,0,0,0
12.8,2.6381811916545836,0.0,0.0,10,0.001,100,0,rbf,0,0.009203672409057617,9,14,12,17,12,0,0,0,0,0
12.8,2.6381811916545836,0.0,0.0,10,0.001,1000,0,rbf,0,0.007621049880981445,9,14,12,17,12,0,0,0,0,0
12.8,2.6381811916545836,0.0,0.0,10,0.001,10000,0,rbf,0,0.008467435836791992,9,14,12,17,12,0,0,0,0,0
12.8,2.6381811916545836,0.0,0.0,10,0.001,100000,0,rbf,0,0.009098529815673828,9,14,12,17,12,0,0,0,0,0
12.8,2.6381811916545836,51.2,2.638181191654584,100,0.001,0.0001,0,rbf,0,0.005511045455932617,9,14,12,17,12,55,50,52,47,52
12.8,2.6381811916545836,51.2,2.638181191654584,100,0.001,0.001,0,rbf,0,0.008461713790893555,9,14,12,17,12,55,50,52,47,52
