,mean Validation Error,1,2,Architecture,alpha,Activation Function
68,1.011844254984259,0.9422041951888143,0.028081596127144347,[2000],3.465656565656566,relu
69,1.0169263857236701,0.940934245644613,0.0240857701026638,[2000],3.5151515151515156,relu
70,1.0087957135088583,0.94221803966463,0.019302814011094252,[2000],3.564646464646465,relu
71,1.0129606951034544,0.9433939301241594,0.025072611012934887,[2000],3.6141414141414145,relu
72,1.0174301780670962,0.9453419319404591,0.023179459276679717,[2000],3.663636363636364,relu
73,1.0125489900073537,0.9436280062330065,0.024063578584181816,[2000],3.7131313131313135,relu
74,1.0139145459652372,0.9459482448409418,0.02541592957411903,[2000],3.762626262626263,relu
75,1.0111276976094312,0.94619868498612,0.02087844262216832,[2000],3.812121212121213,relu
76,1.020401288849662,0.9438839701330345,0.026456664808912476,[2000],3.8616161616161624,relu
77,1.0125911119706326,0.948813885732148,0.025604432107806847,[2000],3.911111111111112,relu
78,1.0164257865561401,0.949365015901148,0.025495562636570233,[2000],3.9606060606060614,relu
79,1.0141070155155538,0.9496431313509728,0.022816919386235326,[2000],4.01010101010101,relu
80,1.0182228928973114,0.947914103074952,0.029619966526660744,[2000],4.05959595959596,relu
81,1.014172600640847,0.9519196936469904,0.02012839567132722,[2000],4.109090909090909,relu
82,1.0168985564592017,0.9494685192184357,0.021720466307343513,[2000],4.158585858585859,relu
83,1.0219073275622503,0.948551225805745,0.023999296959171287,[2000],4.208080808080808,relu
84,1.0183992438880174,0.9548867950301315,0.018968436649584003,[2000],4.257575757575758,relu
85,1.0202302951762998,0.9542574242807895,0.0239941044496794,[2000],4.307070707070707,relu
86,1.0166813039995433,0.9538640795937288,0.02015461409161319,[2000],4.356565656565657,relu
87,1.01794186758757,0.9555577470640368,0.018816986651966662,[2000],4.406060606060606,relu
88,1.0192297375278574,0.9517802156500896,0.022970760241835187,[2000],4.455555555555556,relu
89,1.0158551393726059,0.952688860255445,0.023557541001608225,[2000],4.505050505050505,relu
90,1.0185345314064524,0.9551763156837823,0.019741551422934416,[2000],4.554545454545455,relu
91,1.014886022658991,0.9545046487931588,0.026063353375700895,[2000],4.604040404040404,relu
92,1.018035677574612,0.9557372226910131,0.02188224602545834,[2000],4.653535353535354,relu
93,1.0212941937251596,0.958978778354504,0.02375249472898936,[2000],4.703030303030303,relu
94,1.0193933691018227,0.9570608059381296,0.019497888319997887,[2000],4.752525252525253,relu
95,1.0188178269453816,0.9579075835010404,0.025986965665654827,[2000],4.802020202020202,relu
96,1.0212478099072835,0.9574675912652675,0.02026835514497202,[2000],4.851515151515152,relu
97,1.022539848419786,0.9617196535581972,0.021014998238614822,[2000],4.901010101010101,relu
98,1.01658167303176,0.9584869622599024,0.022189089860089675,[2000],4.9505050505050505,relu
99,1.019635133113343,0.9599670433092473,0.026872893969831096,[2000],5.0,relu
