,mean Validation Error,Mean training,alpha
204,2.189501351538395,2.1547681144791335,2.05
205,2.189500620417635,2.154770420341873,2.0599999999999996
206,2.1894998948916777,2.1547727317603327,2.07
207,2.1894991749579997,2.1547750487290322,2.0799999999999996
208,2.189498460614074,2.1547773712425076,2.09
209,2.18949775185738,2.1547796992953305,2.0999999999999996
210,2.1894970486853973,2.1547820328820877,2.11
211,2.1894963510956087,2.1547843719974016,2.1199999999999997
212,2.1894956590854946,2.1547867166359134,2.13
213,2.1894949726525477,2.1547890667922887,2.1399999999999997
214,2.189494291794251,2.154791422461217,2.15
215,2.189493616508099,2.154793783637417,2.1599999999999997
216,2.189492946791581,2.154796150315624,2.17
217,2.1894922826421954,2.154798522490605,2.1799999999999997
218,2.189491624057439,2.1548009001571438,2.19
219,2.1894909710348096,2.154803283310052,2.1999999999999997
220,2.1894903235718095,2.1548056719441595,2.21
221,2.189489681665941,2.154808066054324,2.2199999999999998
222,2.189489045314714,2.154810465635427,2.23
223,2.189488414515634,2.1548128706823677,2.2399999999999998
224,2.1894877892662103,2.15481528119007,2.25
225,2.1894871695639573,2.1548176971534843,2.26
226,2.189486555406387,2.154820118567572,2.27
227,2.1894859467910184,2.154822545427331,2.28
228,2.1894853437153685,2.154824977727772,2.29
229,2.1894847461769613,2.154827415463926,2.3
230,2.189484154173317,2.1548298586308525,2.31
231,2.189483567701962,2.1548323072236304,2.32
232,2.1894829867604253,2.154834761237354,2.3299999999999996
233,2.1894824113462326,2.1548372206671442,2.34
234,2.1894818414569186,2.1548396855081435,2.3499999999999996
235,2.1894812770900156,2.1548421557555133,2.36
236,2.189480718243064,2.154844631404437,2.3699999999999997
237,2.1894801649135966,2.154847112450115,2.38
238,2.189479617099157,2.1548495988877736,2.3899999999999997
239,2.1894790747972848,2.1548520907126525,2.4
240,2.1894785380055275,2.154854587920021,2.4099999999999997
241,2.18947800672143,2.1548570905051614,2.42
242,2.189477480942544,2.1548595984633776,2.4299999999999997
243,2.1894769606664166,2.1548621117899938,2.44
244,2.1894764458906044,2.1548646304803523,2.4499999999999997
245,2.1894759366126606,2.1548671545298186,2.46
246,2.189475432830143,2.154869683933777,2.4699999999999998
247,2.189474934540613,2.1548722186876255,2.48
248,2.1894744417416305,2.1548747587867894,2.4899999999999998
249,2.18947395443076,2.154877304226708,2.5
250,2.1894734726055685,2.154879855002842,2.51
251,2.1894729962636226,2.154882411110668,2.52
252,2.189472525402494,2.1548849725456893,2.53
253,2.1894720600197544,2.1548875393034157,2.54
254,2.1894716001129773,2.154890111379384,2.55
255,2.1894711456797418,2.1548926887691486,2.56
256,2.189470696717624,2.154895271468282,2.57
257,2.189470253224208,2.1548978594723756,2.5799999999999996
258,2.1894698151970746,2.1549004527770332,2.59
259,2.1894693826338085,2.1549030513778855,2.5999999999999996
260,2.1894689555319995,2.1549056552705763,2.61
261,2.1894685338892366,2.1549082644507678,2.6199999999999997
262,2.189468117703109,2.154910878914139,2.63
263,2.1894677069712123,2.15491349865639,2.6399999999999997
264,2.1894673016911423,2.154916123673235,2.65
265,2.189466901860497,2.154918753960408,2.6599999999999997
266,2.189466507476875,2.154921389513657,2.67
267,2.1894661185378803,2.1549240303287553,2.6799999999999997
268,2.1894657350411175,2.154926676401483,2.69
269,2.18946535698419,2.1549293277276442,2.6999999999999997
270,2.1894649843647094,2.154931984303058,2.71
271,2.189464617180285,2.1549346461235603,2.7199999999999998
272,2.1894642554285326,2.154937313185004,2.73
273,2.1894638991070616,2.1549399854832583,2.7399999999999998
274,2.1894635482134928,2.1549426630142112,2.75
275,2.1894632027454444,2.1549453457737666,2.76
276,2.1894628627005357,2.15494803375784,2.77
277,2.189462528076393,2.1549507269623707,2.78
278,2.189462198870642,2.15495342538331,2.79
279,2.1894618750809087,2.154956129016627,2.8
280,2.1894615567048197,2.1549588378583038,2.81
281,2.189461243740012,2.154961551904345,2.82
282,2.189460936184118,2.1549642711507624,2.8299999999999996
283,2.1894606340347718,2.154966995593589,2.84
284,2.189460337289614,2.1549697252288773,2.8499999999999996
285,2.189460045946282,2.154972460052686,2.86
286,2.189459760002419,2.154975200061097,2.8699999999999997
287,2.1894594794556705,2.154977945250207,2.88
288,2.1894592043036836,2.1549806956161217,2.8899999999999997
289,2.189458934544103,2.154983451154971,2.9
290,2.189458670174582,2.1549862118628913,2.9099999999999997
291,2.1894584111927746,2.1549889777360436,2.92
292,2.189458157596334,2.1549917487705907,2.9299999999999997
293,2.189457909382915,2.1549945249627314,2.94
294,2.1894576665501813,2.1549973063086547,2.9499999999999997
295,2.18945742909579,2.1550000928045843,2.96
296,2.189457197017407,2.1550028844467453,2.9699999999999998
297,2.189456970312694,2.1550056812313847,2.98
298,2.1894567489793215,2.155008483154765,2.9899999999999998
299,2.1894565330149596,2.1550112902131526,3.0
300,2.1894563224172763,2.1550141024028457,3.01
301,2.1894561171839486,2.1550169197201416,3.02
302,2.1894559173126495,2.155019742161357,3.03
303,2.1894557228010596,2.155022569722825,3.04
304,2.1894555336468557,2.155025402400891,3.05
305,2.189455349847722,2.1550282401919145,3.06
306,2.1894551714013413,2.155031083092266,3.07
307,2.1894549983053997,2.1550339310983366,3.08
308,2.1894548305575854,2.1550367842065232,3.09
309,2.18945466815559,2.1550396424132408,3.0999999999999996
310,2.1894545110971038,2.1550425057149205,3.11
311,2.1894543593798232,2.155045374108001,3.1199999999999997
